Product Name,Colors,RAM (GB),ROM (GB),Mrp,Sales Price,Rating
Motorola G85 5G,Cobalt Blue,12,256,22999.0,18999.0,4.4
realme P2 Pro 5G,Eagle Grey,8,128,25999.0,19999.0,4.4
Motorola G85 5G,Cobalt Blue,8,128,20999.0,17999.0,4.4
REDMI Note-13 Pro 5G,Scarlet Red,8,256,22999.0,18999.0,4.7
realme P2 Pro 5G,Eagle Grey,12,256,27999.0,19999.0,4.4
Motorola G85 5G,Olive Green,12,256,22999.0,19999.0,4.4
realme P1 5G,Phoenix Red,8,256,22999.0,16999.0,4.4
OnePlus Nord CE 3 Lite 5G,Chromatic Gray,8,128,19999.0,15778.0,4.4
Motorola G85 5G,Viva Magenta,8,128,22999.0,18999.0,4.4
POCO X6 Pro 5G,Yellow,8,256,30999.0,18999.0,4.3
vivo T3 5G,Crystal Flake,8,128,22999.0,18999.0,4.4
Motorola g64 5G,Mint Green,12,256,22999.0,18999.0,4.2
OnePlus Nord CE4 lite 5G,MEGA BLUE,8,128,20999.0,17402.0,4.4
OnePlus Nord CE 3 Lite 5G,Pastel Lime,8,128,22999.0,18999.0,4.4
Motorola G85 5G,Viva Magenta,12,256,22999.0,19999.0,4.4
OnePlus Nord CE4 lite 5G,SUPER SILVER,8,128,22999.0,18999.0,4.4
Motorola g64 5G,Pearl Blue,12,256,22999.0,18999.0,4.2
vivo T3 5G,Cosmic Blue,8,128,22999.0,18499.0,4.4
Motorola G85 5G,Urban Grey,12,256,22999.0,19999.0,4.4
realme P2 Pro 5G,Parrot Green,8,128,25999.0,19999.0,4.4
realme P1 5G,Feather Blue,8,256,22999.0,18999.0,4.4
Motorola G85 5G,Urban Grey,8,128,20999.0,17999.0,4.4
REDMI Note 13 5G,Chromatic Purple,8,256,22999.0,18999.0,4.2
